Category: All categories

Week,deep learning: (Worldwide)
2014-11-23,10
2014-11-30,16
2014-12-07,16
2014-12-14,18
2014-12-21,13
2014-12-28,14
2015-01-04,19
2015-01-11,19
2015-01-18,16
2015-01-25,19
2015-02-01,17
2015-02-08,20
2015-02-15,17
2015-02-22,20
2015-03-01,18
2015-03-08,17
2015-03-15,16
2015-03-22,18
2015-03-29,18
2015-04-05,18
2015-04-12,20
2015-04-19,20
2015-04-26,13
2015-05-03,16
2015-05-10,17
2015-05-17,19
2015-05-24,24
2015-05-31,21
2015-06-07,21
2015-06-14,22
2015-06-21,22
2015-06-28,20
2015-07-05,23
2015-07-12,22
2015-07-19,19
2015-07-26,22
2015-08-02,25
2015-08-09,19
2015-08-16,21
2015-08-23,21
2015-08-30,19
2015-09-06,17
2015-09-13,21
2015-09-20,25
2015-09-27,25
2015-10-04,25
2015-10-11,25
2015-10-18,21
2015-10-25,22
2015-11-01,23
2015-11-08,29
2015-11-15,29
2015-11-22,26
2015-11-29,23
2015-12-06,30
2015-12-13,28
2015-12-20,21
2015-12-27,21
2016-01-03,32
2016-01-10,29
2016-01-17,32
2016-01-24,40
2016-01-31,36
2016-02-07,33
2016-02-14,29
2016-02-21,28
2016-02-28,38
2016-03-06,45
2016-03-13,45
2016-03-20,43
2016-03-27,34
2016-04-03,41
2016-04-10,38
2016-04-17,35
2016-04-24,35
2016-05-01,30
2016-05-08,41
2016-05-15,35
2016-05-22,39
2016-05-29,38
2016-06-05,38
2016-06-12,40
2016-06-19,36
2016-06-26,35
2016-07-03,37
2016-07-10,36
2016-07-17,39
2016-07-24,38
2016-07-31,36
2016-08-07,36
2016-08-14,26
2016-08-21,36
2016-08-28,38
2016-09-04,38
2016-09-11,40
2016-09-18,42
2016-09-25,37
2016-10-02,44
2016-10-09,49
2016-10-16,51
2016-10-23,45
2016-10-30,44
2016-11-06,51
2016-11-13,59
2016-11-20,54
2016-11-27,58
2016-12-04,63
2016-12-11,59
2016-12-18,53
2016-12-25,38
2017-01-01,52
2017-01-08,60
2017-01-15,61
2017-01-22,59
2017-01-29,61
2017-02-05,63
2017-02-12,59
2017-02-19,68
2017-02-26,61
2017-03-05,61
2017-03-12,71
2017-03-19,67
2017-03-26,73
2017-04-02,66
2017-04-09,72
2017-04-16,66
2017-04-23,72
2017-04-30,61
2017-05-07,70
2017-05-14,66
2017-05-21,70
2017-05-28,73
2017-06-04,70
2017-06-11,73
2017-06-18,73
2017-06-25,73
2017-07-02,68
2017-07-09,69
2017-07-16,63
2017-07-23,67
2017-07-30,63
2017-08-06,79
2017-08-13,80
2017-08-20,70
2017-08-27,65
2017-09-03,82
2017-09-10,76
2017-09-17,82
2017-09-24,73
2017-10-01,71
2017-10-08,82
2017-10-15,81
2017-10-22,83
2017-10-29,82
2017-11-05,80
2017-11-12,94
2017-11-19,74
2017-11-26,87
2017-12-03,100
2017-12-10,89
2017-12-17,85
