Category: All categories

Week,machine learning: (Worldwide)
2014-11-23,23
2014-11-30,23
2014-12-07,26
2014-12-14,21
2014-12-21,18
2014-12-28,16
2015-01-04,21
2015-01-11,24
2015-01-18,22
2015-01-25,24
2015-02-01,22
2015-02-08,24
2015-02-15,21
2015-02-22,23
2015-03-01,26
2015-03-08,26
2015-03-15,25
2015-03-22,24
2015-03-29,26
2015-04-05,29
2015-04-12,28
2015-04-19,29
2015-04-26,29
2015-05-03,29
2015-05-10,25
2015-05-17,27
2015-05-24,26
2015-05-31,29
2015-06-07,22
2015-06-14,28
2015-06-21,27
2015-06-28,27
2015-07-05,31
2015-07-12,25
2015-07-19,26
2015-07-26,26
2015-08-02,25
2015-08-09,28
2015-08-16,27
2015-08-23,28
2015-08-30,30
2015-09-06,28
2015-09-13,32
2015-09-20,30
2015-09-27,28
2015-10-04,31
2015-10-11,34
2015-10-18,30
2015-10-25,31
2015-11-01,33
2015-11-08,40
2015-11-15,37
2015-11-22,32
2015-11-29,36
2015-12-06,34
2015-12-13,36
2015-12-20,31
2015-12-27,23
2016-01-03,31
2016-01-10,31
2016-01-17,35
2016-01-24,35
2016-01-31,34
2016-02-07,36
2016-02-14,34
2016-02-21,36
2016-02-28,37
2016-03-06,39
2016-03-13,41
2016-03-20,37
2016-03-27,42
2016-04-03,42
2016-04-10,35
2016-04-17,39
2016-04-24,39
2016-05-01,41
2016-05-08,39
2016-05-15,39
2016-05-22,44
2016-05-29,38
2016-06-05,40
2016-06-12,39
2016-06-19,43
2016-06-26,41
2016-07-03,36
2016-07-10,38
2016-07-17,39
2016-07-24,40
2016-07-31,42
2016-08-07,39
2016-08-14,33
2016-08-21,45
2016-08-28,42
2016-09-04,45
2016-09-11,46
2016-09-18,45
2016-09-25,48
2016-10-02,48
2016-10-09,47
2016-10-16,53
2016-10-23,54
2016-10-30,53
2016-11-06,54
2016-11-13,55
2016-11-20,51
2016-11-27,55
2016-12-04,57
2016-12-11,61
2016-12-18,52
2016-12-25,40
2017-01-01,57
2017-01-08,60
2017-01-15,60
2017-01-22,60
2017-01-29,60
2017-02-05,64
2017-02-12,69
2017-02-19,65
2017-02-26,69
2017-03-05,68
2017-03-12,67
2017-03-19,65
2017-03-26,77
2017-04-02,65
2017-04-09,70
2017-04-16,75
2017-04-23,73
2017-04-30,72
2017-05-07,73
2017-05-14,74
2017-05-21,79
2017-05-28,70
2017-06-04,80
2017-06-11,76
2017-06-18,74
2017-06-25,71
2017-07-02,70
2017-07-09,75
2017-07-16,71
2017-07-23,72
2017-07-30,75
2017-08-06,80
2017-08-13,73
2017-08-20,75
2017-08-27,76
2017-09-03,82
2017-09-10,90
2017-09-17,80
2017-09-24,81
2017-10-01,85
2017-10-08,90
2017-10-15,88
2017-10-22,92
2017-10-29,95
2017-11-05,90
2017-11-12,89
2017-11-19,85
2017-11-26,94
2017-12-03,100
2017-12-10,98
2017-12-17,84
